Geneid
GABRD
TNFRSF14
TP73
LINC01134
RP3-467L1.4
NPPA-AS1
CLCNKA
RP5-1056L3.3
UBXN10
NCMAP
LIN28A
RP1-159A19.3
TINAGL1
C1orf94
ZMYM4-AS1
COL8A2
RHBDL2
ARTN
MRPS17P1
RP4-784A16.3
DIO1
L1TD1
ANGPTL3
NEGR1
PTGFR
IFI44L
IFI44
ADGRL4
RP5-887A10.1
SPATA1
RP11-131L23.1
COL24A1
GBP1
GBP4
HFM1
BRDT
AMY2B
NTNG1
GSTM2
EPS8L3
KCNA2
RP11-426L16.3
BCL2L15
TSPAN2
SNORA40
HMGCS2
NKAIN1P1
RP11-14N7.2
GJA5
RORC
CRCT1
LCE1E
IVL
S100A9
S100A14
S100A1
C1orf189
SEMA4A
ATP1A2
ITLN2
RP11-544M22.8
RP11-466F5.8
XCL2
HMGB1P11
RP11-533E19.7
RP11-92G12.3
IGFN1
RP11-465N4.5
LAX1
PIGR
RP11-354K1.1
RPS15AP12
CAPN8
RP11-245P10.6
LGALS8-AS1
RYR2
CHRM3
GREM2
MAP1LC3C
ZNF695
OR2T3
RP11-407H12.8
RP11-438F14.3
TPO
FAM84A
RP11-130L8.2
AC012065.5
CIB4
KCNK3
AC109829.1
MIR4263
AC007743.1
AC008074.3
AC007386.4
NAT8
TACR1
AC007099.1
AC027612.4
GGT8P
FER1L5
CNGA3
CREG2
SLC9A4
AC012360.4
EDAR
SH3RF3-AS1
NT5DC4
IL1RN
MARCO
RP11-521O16.1
MYO7B
NCKAP5
ACMSD
LCT
ZEB2
KCNJ3
FAP
XIRP2
LRP2
AC007405.8
RP11-632P5.1
ITGA4
RP11-366L5.1
PDE1A
ZNF804A
PLCL1
GPR1
CPS1-IT1
AC098820.2
HSPA9P1
KCNE4
DAW1
RP11-223I10.1
ALPP
ALPI
UGT1A7
ACKR3
AC012485.2
KIF1A
AC005104.3
AC114730.11
RP11-341N2.1
CHL1
GHRL
RP11-415F23.2
CCK
CCRL2
LRRC2-AS1
NRADDP
HYAL1
TNNC1
CACNA2D3
RP11-154H23.4
LINC00870
RP11-6B4.1
RP11-142L1.1
LINC00506
EPHA3
RP11-383I23.2
LINC00882
LINC00635
HHLA2
LINC00488
ZBED2
RP11-231E6.1
CD200R1
SIDT1
RN7SL767P
CD80
PLA1A
NR1I2
MUC13
RP11-88I21.1
ACPP
RPL39P5
NME9
TM4SF4
RP11-278L15.6
SUCNR1
NAALADL2
KCCAT211
AHSG
ATP13A4
RP11-20I20.1
DOK7
LINC01085
RP11-608O21.1
LGI2
SLC34A2
RHOH
RP11-320H14.1
RP11-241F15.1
KIT
SPINK2
RP11-319E12.2
ADGRL3
EPHA5
EPHA5-AS1
RP11-584P21.4
UGT2B4
SULT1B1
SULT1E1
FDCSP
AMTN
ENAM
JCHAIN
ALB
AFP
C4orf26
HERC5
RP11-710C12.1
ADH4
MTTP
RP11-15B17.2
TACR3
DKK2
LEF1
CFI
RRH
NDST4
NDST3
RP11-548H18.2
RP11-130C6.1
RP11-184M15.1
RP11-308D13.3
INPP4B
HHIP-AS1
HHIP
TMEM154
GUCY1A3
RP11-588K22.2
GRIA2
RP11-597D13.9
LINC01207
SPOCK3
GPM6A
CTD-2231H16.1
AC021087.1
CTD-2589H19.6
SEMA5A
CTNND2
CDH12
CDH10
RNU6-909P
CTD-2010I22.2
KRT18P31
C6
PLCXD3
RP11-159F24.2
RP11-53O19.1
CTD-2288O8.1
CDC20B
LRRC70
RGS7BP
CTD-2377O17.1
CTD-2235C13.3
HAPLN1
EDIL3
LINC00461
PCSK1
PSMC1P5
SEMA6A
SNCAIP
MGC32805
RP11-434D11.4
FSTL4
RPL7P19
MZB1
TMEM173
SGCD
CTC-340A15.2
LINC01411
CTC-251I16.1
SLC34A1
RP11-1101H11.1
LINC01394
RP11-299J5.1
LINC01600
SERPINB9P1
HIST1H2BM
IQCB2P
UBD
HCG4B
DDX39B-AS1
LTB
SAPCD1-AS1
SLC44A4
GRM4
TREM1
TMEM151B
RUNX2
PTCHD4
CRISP3
RP3-417L20.4
FAM83B
COL21A1
PRSS35
CGA
CNR1
RN7SL336P
EPHA7
RP1-60O19.1
FAM26E
ROS1
FABP7
TRDN
NKAIN2
C6orf58
ARG1
RP3-523C21.2
LINC00326
LINC01010
RP11-95M15.2
RP11-350J20.9
CCR6
LINC01615
LINC00574
AC073343.13
AC009473.1
DGKB
RP11-511H23.2
STEAP1B
AC005682.6
CREB5
BMPER
NPSR1-AS1
TRGV9
AC004692.5
VSTM2A
VSTM2A-OT1
CTA-315H11.2
CYP51A1-AS1
RP11-455I9.1
COL1A2
ASB4
AC002451.3
AC069294.1
MIR25
MYL10
RP5-884M6.1
LRRN3
GRM8
RP11-2E11.6
DGKI
AKR1D1
PRSS2
ETF1P2
LINC00689
NLGN4X
GS1-184P14.2
MAGEB6
RP11-268G12.1
DMD
RP11-75A9.3
AF196972.3
AF196972.9
PAGE1
SPANXN5
WNK3
TRO
PAGE2B
MAGEH1
RP11-284B18.3
HEPH
IL2RG
ZDHHC15
MIR325HG
CPXCR1
PCDH11X
CLDN2
MYCLP1
VSIG1
CAPN6
DCX
TENM1
MBNL3
LINC00629
SAGE1
VGLL1
RAB28P5
SPANXB1
SLITRK4
MAGEA9B
GABRA3
MAGEA6
BGN
XKR5
DEFB1
FAM85B
LINCR-0001
SOX7
DLC1
MSR1
RP11-156K13.1
HR
EGR3
STMN4
RP11-181B11.1
LINC00589
DUSP26
LSM12P1
RP11-697N18.4
RP11-30L15.4
SDR16C5
CA8
CLVS1
RP11-32K4.1
CPA6
SULF1
PI15
MMP16
KB-173C10.2
KB-1615E4.2
PKHD1L1
CSMD3
MAL2
FAM83A
FAM83A-AS1
ANXA13
RP11-473O4.5
SLA
WISP1
RP11-157E21.1
RP11-642A1.2
RP11-10J21.4
RP11-10J21.3
LINC01300
RP11-661A12.5
MLANA
IL33
PTPRD
RP11-146N23.1
RP11-513M16.8
AQP7
SNORD121A
RP11-392A14.9
CA9
ATP5A1P8
ANKRD20A2
BMS1P9
RP11-12A20.6
RP11-197P3.5
RP11-213G2.1
RP11-350E12.4
LINC00475
PALM2
BSPRY
ORM1
TNFSF15
TNFSF8
TNC
DEC1
RP11-67K19.3
TLR4
RP11-244O19.1
RP11-247A12.2
