Gene
A2M
AATF
ABCA1
ABCA3
ABCB1
ABCB11
ABCB8
ABCC1
ABCC3
ABCC6
ABCG2
ABCG5
ABCG8
ABL1
ACACA
ACADL
ACAN
ACAT1
ACAT2
ACE
ACHE
ACO1
ACOX1
ACP5
ACR
ACSL1
ACTA1
ACTC1
ACVRL1
ADA
ADAM10
ADAM17
ADAM23
ADGRB1
ADGRE5
ADH6
ADIPOQ
ADIPOR1
ADORA1
ADORA2A
ADORA3
ADRA1A
ADRA2B
ADRB3
AFP
AGER
AGR2
AGT
AGTR1
AHR
AIP
AKAP12
AKR1B1
AKR1C2
AKR1C3
AKR1C4
AKT1
AKT2
ALAS2
ALB
ALDH1A2
ALDH1A3
ALKBH2
ALOX12
ALOX15
ALOX15B
ALOX5
ALOX5AP
ALPL
AMACR
AMH
ANGPT2
ANGPTL4
ANKRD1
ANPEP
ANTXR1
ANXA8
APAF1
APC
APCS
APEX1
APH1A
APLNR
APOA1
APOA2
APOA4
APOA5
APOB
APOBR
APOC3
APOE
APOM
APP
AQP3
AR
AREG
ARF6
ARG1
ARG2
ARID1A
ARID3A
ARNT
ARNTL
ASAP2
ASCL1
ASCL2
ASF1B
ASH1L
ASNS
ASPH
ASPM
ASPN
ASS1
ATAD2
ATF1
ATF2
ATF3
ATF4
ATF5
ATF6
ATG5
ATM
ATP2A2
ATP2A3
ATP2C1
ATP5F1A
AURKA
AURKB
AVP
AXIN2
B2M
B4GALT1
B4GALT5
BABAM2
BACE1
BACE2
BACH1
BACH2
BAD
BAG1
BAG2
BAMBI
BARD1
BARX2
BATF3
BAX
BBC3
BCAR1
BCAS3
BCL11A
BCL2
BCL2A1
BCL2L1
BCL2L11
BCL3
BCL6
BDKRB1
BDKRB2
BDNF
BDP1
BECN1
BEST1
BEX2
BGLAP
BGN
BHLHE40
BHLHE41
BHMT
BID
BIN1
BIRC2
BIRC3
BIRC5
BLM
BLMH
BMI1
BMP2
BMP7
BPI
BRCA1
BRCA2
BRD7
BSG
BST1
BTAF1
BTF3
BTG1
BTG2
BTG3
BTK
BTRC
BTS1
C1QBP
C1QTNF5
C4A
C4B
CA2
CA9
CABLES1
CACNA1H
CAD
CALB1
CAMP
CAPN6
CARD8
CARM1
CASP1
CASP2
CASP3
CASP7
CASP8
CASP9
CASR
CAT
CAV1
CBFB
CBS
CBX5
CBX7
CBX8
CCK
CCL11
CCL13
CCL19
CCL2
CCL20
CCL21
CCL22
CCL3
CCL4
CCL5
CCNA1
CCNA2
CCNB1
CCNB2
CCND1
CCND2
CCND3
CCNE1
CCR1
CCR2
CCR3
CCR4
CCR5
CCR7
CD14
CD151
CD163
CD19
CD1D
CD2
CD22
CD24
CD247
CD28
CD2AP
CD33
CD34
CD36
CD38
CD3G
CD4
CD40
CD40LG
CD44
CD46
CD58
CD6
CD68
CD69
CD74
CD80
CD82
CD83
CD86
CD8A
CD8B
CD99
CDAN1
CDC25C
CDC34
CDC42
CDC42BPG
CDC6
CDC73
CDCA7
CDH1
CDH11
CDH17
CDH2
CDH3
CDH6
CDK1
CDK2
CDK20
CDK4
CDK5R1
CDK6
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2B
CDO1
CDX1
CDX2
CEACAM1
CEACAM5
CEBPA
CEBPB
CEBPD
CEBPE
CEBPG
CENPH
CENPW
CERS2
CES1
CETP
CFB
CFI
CFLAR
CFTR
CGA
CGB5
CHAT
CHD8
CHEK1
CHEK2
CHGA
CHI3L1
CHRNB4
CHST4
CHUK
CIAO1
CIC
CIITA
CISH
CKM
CLDN3
CLDN7
CLEC4G
CLK3
CLOCK
CLU
CNBP
CNMD
COL11A2
COL18A1
COL1A1
COL1A2
COL2A1
COL7A1
COMP
COPS5
CORO1C
COX1
COX6A1
COX7C
CPT1A
CR2
CRABP1
CRABP2
CREB1
CREB3
CREB5
CREBBP
CREG1
CREM
CRH
CRHBP
CRHR1
CRISP1
CRISP3
CRMP1
CRP
CRTC1
CRYAB
CSF1
CSF2
CSF2RA
CSF3R
CSNK2A1
CSRP1
CST5
CSTA
CTBP1
CTCF
CTGF
CTNNB1
CTNNBIP1
CTPS1
CTSB
CTSD
CTSG
CTSK
CTSL
CTSS
CTSV
CUX1
CX3CL1
CXADR
CXCL1
CXCL10
CXCL12
CXCL14
CXCL2
CXCL5
CXCL8
CXCR1
CXCR2
CXCR4
CXCR5
CXXC5
CYBB
CYFIP2
CYP11A1
CYP11B1
CYP11B2
CYP17A1
CYP19A1
CYP1A1
CYP1A2
CYP1B1
CYP24A1
CYP27A1
CYP27B1
CYP2B6
CYP2C19
CYP2C8
CYP2C9
CYP2D6
CYP2E1
CYP2F1
CYP2J2
CYP3A4
CYP3A5
CYP3A7
CYP46A1
CYP4F12
CYP7A1
CYP7B1
CYR61
DACH1
DAPK1
DAPK2
DBF4
DBH
DBP
DCK
DCN
DCT
DDB1
DDB2
DDIT3
DDIT4
DDX18
DDX21
DDX5
DDX58
DEFA1
DEFA3
DEFB1
DEFB4A
DEK
DHCR24
DHFR
DHRS2
DICER1
DIRAS3
DKK1
DKK4
DLX4
DLX5
DMAP1
DMRT1
DNAAF4
DNAJB4
DNASE2
DNM3
DNMT1
DNMT3A
DNMT3B
DOCK1
DOK1
DPYSL2
DR1
DRAM1
DRAP1
DRD2
DRG2
DROSHA
DST
DUSP1
DUSP10
DUSP4
E2F1
E2F2
E2F3
E2F4
E2F5
E2F6
E2F7
E2F8
E4F1
EAPP
EBF3
EBI3
EBNA1BP2
ECT2
EDN1
EDNRB
EGF
EGFR
EGR1
EGR2
EHMT2
EIF2AK1
EIF2AK2
ELANE
ELAVL1
ELF1
ELF3
ELF4
ELK1
ELK4
ELL
ELMO3
ELN
ENG
ENO1
EOMES
EP300
EPAS1
EPCAM
EPHA2
EPO
EPOR
ERAP1
ERAP2
ERBB2
ERBB3
ERCC1
ERCC2
ERCC4
ERCC5
EREG
ERF
ERG
ERICD
ERVW-1
ESR1
ESR2
ESRRA
ETF1
